Target Index,TimeOfDay,MaxSpeed,Traffic Amount,Keep Lane,Weather,Ultrasound,Damage,Distance,Label(Ultra),Label(Damage),Label(Distance)
1,0.66,44,8,0,6,4.251912117,-22417.86621,-688.2896574,0,0,1
1,0.66,44,8,0,6,9999.900391,-12845.9043,-699.1935831,1,0,1
1,0.66,44,8,0,6,9999.900391,-8651.329651,-707.1070124,1,1,0
1,0.66,44,8,0,6,9999.900391,-14954.21875,-695.7498637,1,0,1
1,0.66,44,8,0,6,9999.900391,-13722.6543,-686.4878578,1,0,1
1,0.66,44,8,0,6,4.721474171,-22247.78027,-641.1646842,0,0,1
1,0.66,44,8,0,6,9999.900391,-17822.27344,-603.2219648,1,0,1
1,0.66,44,8,0,6,3.475777388,-16382.23535,-690.7359846,0,0,1
1,0.66,44,8,0,6,4.111686707,-31508.05078,-578.671104,0,0,1
1,0.74,25,1,1,6,9999.900391,-1009.745146,-521.2294861,1,1,1
1,0.74,25,1,1,6,9999.900391,-1009.549386,-521.7152628,1,1,1
1,0.74,25,1,1,6,9999.900391,-1008.705914,-521.4894314,1,1,1
1,0.74,25,1,1,6,9999.900391,-1010.195105,-522.6788759,1,1,1
1,0.74,25,1,1,6,9999.900391,-1009.429184,-522.0811343,1,1,1
1,0.74,25,1,1,6,9999.900391,-1010.804145,-520.8952555,1,1,1
1,0.74,25,1,1,6,9999.900391,-1009.065384,-523.350533,1,1,1
1,0.74,25,1,1,6,9999.900391,-1012.237384,-521.845542,1,1,1
1,0.74,25,1,1,6,9999.900391,-1011.209273,-521.118077,1,1,1
1,0.74,25,1,1,6,9999.900391,-1009.140308,-521.276553,1,1,1
1,0.82,41,7,0,3,1.057901859,-18170.89355,-686.870377,0,0,1
1,0.82,41,7,0,3,9999.900391,-2239.46431,-492.9615536,1,1,1
1,0.82,41,7,0,3,4.555246353,-13350.2207,-615.453307,0,0,1
1,0.82,41,7,0,3,9999.900391,-19340.64258,-546.156636,1,0,1
1,0.82,41,7,0,3,9999.900391,-13298.8916,-680.8522173,1,0,1
1,0.82,41,7,0,3,3.856669664,-19639.15039,-589.7926286,0,0,1
1,0.82,41,7,0,3,9999.900391,-17798.02441,-513.8927046,1,0,1
1,0.82,41,7,0,3,9999.900391,-4234.103271,-497.6440458,1,1,1
1,0.82,41,7,0,3,9999.900391,-2300.606903,-495.0807437,1,1,1
